host_timestamp,sensor_datetime_utc,pressure_raw_pa,pressure_hpa,temperature_raw,temperature_c,humidity_raw,relative_humidity_ratio,relative_humidity_pct,humidity_temperature_raw,humidity_temperature_c,longitude_raw,longitude_deg,latitude_raw,latitude_deg,altitude_raw_mm,altitude_m,satellites,adc_1,adc_2,adc_3,adc_4,adc_5,adc_6,adc_7,adc_8,parse_ok,raw_data,raw_hex
2026-08-26T19:20:55.213+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,False,\x00,00
2026-08-26T19:20:56.076+01:00,2015-10-18T00:11:05Z,95223,952.23,2427,24.27,288,0.288,28.799999999999997,2568,25.68,0,0.0,0,0.0,-17000,-17.0,0,,,,,,,,,True,"XQ,+095223,+2427,+0288,+2568,2015/10/18,00:11:05,+0000000000,+0000000000,-00017000,00",58 51 2c 2b 30 39 35 32 32 33 2c 2b 32 34 32 37 2c 2b 30 32 38 38 2c 2b 32 35 36 38 2c 32 30 31 35 2f 31 30 2f 31 38 2c 30 30 3a 31 31 3a 30 35 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2d 30 30 30 31 37 30 30 30 2c 30 30
2026-08-26T19:20:57.070+01:00,2015-10-18T00:11:06Z,95223,952.23,2430,24.3,288,0.288,28.799999999999997,2568,25.68,0,0.0,0,0.0,-17000,-17.0,0,,,,,,,,,True,"XQ,+095223,+2430,+0288,+2568,2015/10/18,00:11:06,+0000000000,+0000000000,-00017000,00",58 51 2c 2b 30 39 35 32 32 33 2c 2b 32 34 33 30 2c 2b 30 32 38 38 2c 2b 32 35 36 38 2c 32 30 31 35 2f 31 30 2f 31 38 2c 30 30 3a 31 31 3a 30 36 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2d 30 30 30 31 37 30 30 30 2c 30 30
